branch,vehicle_id,step_order,location_index,arrival_time (sec)
Esenyurt,6,38,112,51257
Esenyurt,6,39,7,51744
Esenyurt,6,40,63,51894
Esenyurt,7,0,0,28079
Esenyurt,7,1,162,28800
Esenyurt,8,0,0,28131
Esenyurt,8,1,15,28800
Esenyurt,9,0,0,28166
Esenyurt,9,1,164,28800
Esenyurt,10,0,0,28317
Esenyurt,10,1,170,28800
Esenyurt,10,2,120,29267
Esenyurt,10,3,169,29766
Esenyurt,10,4,175,55119
Esenyurt,10,5,177,55332
Esenyurt,10,6,142,55467
Esenyurt,10,7,2,55536
Esenyurt,10,8,43,57350
Esenyurt,10,9,196,57540
Esenyurt,10,10,154,57770
Esenyurt,10,11,113,58043
Esenyurt,11,0,0,28170
Esenyurt,11,1,116,28800
Esenyurt,11,2,200,29069
Esenyurt,11,3,151,29274
Esenyurt,11,4,187,29505
Esenyurt,11,5,168,34395
Esenyurt,11,6,61,53310
Esenyurt,11,7,186,53543
Esenyurt,11,8,153,53773
Esenyurt,11,9,117,54023
Esenyurt,11,10,55,54086
Esenyurt,11,11,49,54508
Esenyurt,11,12,173,55970
Esenyurt,11,13,46,56082
Esenyurt,11,14,172,56415
Esenyurt,11,15,93,56614
Esenyurt,11,16,31,56775
Esenyurt,11,17,11,57305
Esenyurt,11,18,10,57480
